,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group,neighbourhood,room_type,reviews_per_month,is_zero,price
153,-0.4081797466946112,1.4785597560174453,-0.6005194201262585,0.9782736365472515,0,24,1,1,0,-0.8656942980000635
154,-0.48985578502160404,3.6264493206969277,-0.585272122135574,0.8618173769818648,0,16,1,1,0,-0.3329782631610121
155,-0.48985578502160404,0.20325032698900256,-0.585272122135574,-1.4193552368577718,0,16,1,1,1,-0.7148715577390614
156,3.1447279205295775,0.3710541992295871,-0.6005194201262585,0.5604011757538047,0,16,0,1,0,0.9790830480929824
157,3.1447279205295775,-0.4344043875252188,-0.615766718116943,0.9714232683375229,0,10,1,0,0,-1.431034904530022
158,-0.44901776585810765,-0.40084361307710187,-0.6005194201262585,1.0810291596931811,0,2,1,1,0,0.04831454433693495
159,0.6127707323927992,-0.40084361307710187,0.6345117171191821,0.8481166405624074,0,10,1,1,0,-1.5806853808469488
160,0.00020044494035296935,-0.4344043875252188,-0.615766718116943,1.0810291596931811,4,25,1,0,0,2.7460459576158462
161,-0.44901776585810765,1.914849823842965,0.10085628744522628,0.779612958465121,0,18,0,1,0,0.14250515158150223
162,-0.28566568920412194,1.0087089137438083,-0.615766718116943,0.05347392823388542,0,14,1,1,0,-0.45865743822591243
163,-0.48985578502160404,-0.4344043875252188,-0.615766718116943,1.0810291596931811,0,17,2,0,0,-0.6748945173285302
164,-0.4081797466946112,0.27037187588523637,-0.4327991422287295,-0.9192783575475812,1,0,1,1,0,-0.960665920699203
165,-0.3673417275311148,0.3710541992295871,2.4641874760013165,-1.1932930859367268,0,10,0,1,0,0.7058740726089446
166,0.04103846410384939,-0.1994789663884004,-0.615766718116943,-1.302898977292385,0,18,0,1,0,0.3453183857955281
167,-0.48985578502160404,1.3107558837768607,0.39055494926823087,-1.1110886674199831,0,6,0,1,0,-0.31813539438102595
168,-0.3265037083676184,1.0422696881919253,0.39055494926823087,-0.9192783575475812,0,6,0,1,0,-0.2746580236687983
170,-0.48985578502160404,2.820990733942122,0.10085628744522628,0.7385107492067492,0,18,0,1,0,0.7058740726089446
171,-0.48985578502160404,6.848283667716151,0.10085628744522628,0.875518113401322,0,18,0,1,0,-0.1023844525062801
173,-0.48985578502160404,-0.16591819194028348,-0.14310048040572496,0.9782736365472515,0,17,1,1,0,-1.145924162477786
174,3.1447279205295775,-0.4344043875252188,-0.6005194201262585,1.0741787914834524,0,15,1,0,0,-0.6748945173285302
175,-0.44901776585810765,0.13612877809276872,-0.23458426834983165,0.8960692180305079,0,2,0,1,0,0.24828653336171214
176,-0.48985578502160404,0.20325032698900256,-0.585272122135574,-1.4193552368577718,0,10,2,1,1,-1.6208806739813264
177,-0.48985578502160404,-0.1323574174921666,-0.615766718116943,1.0741787914834524,3,7,1,1,0,-0.4260148981154778
178,3.1447279205295775,-0.23303974083651732,-0.6005194201262585,0.05347392823388542,0,12,1,1,0,-0.053966017573946055
179,1.9195873456246848,-0.23303974083651732,-0.615766718116943,1.0810291596931811,0,24,0,1,0,0.8669812243622694
180,-0.24482767004062556,-0.30016128973275114,-0.615766718116943,-1.4193552368577718,0,2,0,1,1,0.9983041128724177
181,-0.4081797466946112,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,0,10,0,0,1,1.0940698545636673
182,-0.44901776585810765,2.6867476361496543,0.10085628744522628,0.6700070671094629,0,18,0,1,0,0.11193150654473492
183,-0.48985578502160404,1.6799244027061466,0.39055494926823087,-0.8918768847086667,0,6,0,1,0,-0.28897923840002016
184,-0.44901776585810765,-0.3337220641808681,-0.615766718116943,-1.4193552368577718,0,10,0,1,1,1.1981576598797081
185,-0.48985578502160404,0.6059796203664054,-0.46329373821009845,1.0810291596931811,0,10,1,1,0,0.2297470860873368
186,-0.48985578502160404,-0.26660051528463424,-0.46329373821009845,1.0810291596931811,0,10,2,1,0,-1.2966096828489873
187,-0.48985578502160404,-0.367282838628985,-0.46329373821009845,0.9234706908694225,0,10,1,1,0,-0.8656942980000635
188,-0.3265037083676184,1.6463636282580298,0.39055494926823087,-0.8439243072405662,0,6,0,1,0,-0.3942140775907644
189,-0.48985578502160404,0.16968955254088564,-0.585272122135574,-1.4193552368577718,0,10,2,1,1,-1.5416646100826294
190,-0.48985578502160404,-0.4344043875252188,-0.585272122135574,-1.4193552368577718,0,10,1,0,1,0.3453183857955281
191,-0.44901776585810765,1.3107558837768607,-0.448046440219414,1.0125254775958947,0,16,0,1,0,0.17230853188672163
192,3.1447279205295775,-0.40084361307710187,-0.615766718116943,0.5124485982857042,0,16,0,1,0,0.1222106536601375
193,-0.12231361255013629,0.13612877809276872,-0.615766718116943,1.0810291596931811,0,16,1,1,0,0.7058740726089446
194,1.9195873456246848,0.9415873648475745,0.39055494926823087,-1.2412456634048272,0,6,0,1,0,-0.3942140775907644
195,-0.3265037083676184,-0.367282838628985,-0.615766718116943,-1.4193552368577718,0,18,0,1,1,0.5818340009292908
196,3.1447279205295775,-0.09879664304404967,-0.615766718116943,1.0604780550639952,1,22,1,1,0,-0.45865743822591243
197,-0.48985578502160404,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,0,2,1,0,1,-0.45865743822591243
198,-0.44901776585810765,1.0087089137438083,-0.585272122135574,1.0125254775958947,3,25,1,1,0,-0.053966017573946055
200,0.6944467707197922,0.30393265033335326,2.4641874760013165,0.9919743729667089,0,6,0,1,0,0.7058740726089446
201,-0.3673417275311148,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,0,11,0,0,1,0.9790830480929824
202,-0.44901776585810765,4.733954877484785,0.10085628744522628,0.402842706930046,0,18,0,1,0,0.817668570512714
203,-0.48985578502160404,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,3,25,1,0,1,0.8288158465929064
204,-0.48985578502160404,5.572974238687708,0.10085628744522628,0.553550807544076,0,18,0,1,0,0.2297470860873368
